segment_dimension,segment_column,segment_value,metric,standard_records,random_records,standard_users,random_users,standard_videos,random_videos,standard_rate_pct,random_rate_pct,gap_pp,stable_for_strategy
用户活跃度,user_active_degree,2_14_day_new,点击/有效播放率,7517,23214,613,635,2434,7066,47.75841426100838,18.394072542431292,29.36434171857709,True
用户活跃度,user_active_degree,2_14_day_new,长播率,7517,23214,613,635,2434,7066,33.231342290807504,8.813646937193074,24.41769535361443,True
用户活跃度,user_active_degree,2_14_day_new,完整播放率,7517,23214,613,635,2434,7066,15.358454632022852,3.4269437892207044,11.931510842802147,True
用户活跃度,user_active_degree,2_14_day_new,正向互动率,7517,23214,613,635,2434,7066,2.381269123320474,0.6246230722839666,1.7566460510365074,True
用户活跃度,user_active_degree,2_14_day_new,负反馈率,7517,23214,613,635,2434,7066,0.06651589729945458,0.09907814250021539,-0.032562245200760814,True
用户活跃度,user_active_degree,30day_retention,点击/有效播放率,282,486,14,15,251,471,46.45390070921986,13.786008230452676,32.667892478767186,False
用户活跃度,user_active_degree,30day_retention,长播率,282,486,14,15,251,471,33.687943262411345,5.761316872427984,27.92662638998336,False
用户活跃度,user_active_degree,30day_retention,完整播放率,282,486,14,15,251,471,15.217391304347828,2.335456475583864,12.881934828763963,False
用户活跃度,user_active_degree,30day_retention,正向互动率,282,486,14,15,251,471,1.0638297872340425,0.0,1.0638297872340425,False
用户活跃度,user_active_degree,30day_retention,负反馈率,282,486,14,15,251,471,0.0,0.0,0.0,False
用户活跃度,user_active_degree,UNKNOWN,点击/有效播放率,33,281,6,6,31,275,39.39393939393939,16.370106761565836,23.023832632373555,False
用户活跃度,user_active_degree,UNKNOWN,长播率,33,281,6,6,31,275,27.27272727272727,7.829181494661921,19.44354577806535,False
用户活跃度,user_active_degree,UNKNOWN,完整播放率,33,281,6,6,31,275,12.121212121212121,2.18978102189781,9.931431099314311,False
用户活跃度,user_active_degree,UNKNOWN,正向互动率,33,281,6,6,31,275,3.0303030303030303,0.0,3.0303030303030303,False
用户活跃度,user_active_degree,UNKNOWN,负反馈率,33,281,6,6,31,275,0.0,0.0,0.0,False
用户活跃度,user_active_degree,day_new,点击/有效播放率,199,485,11,11,189,465,38.19095477386934,24.742268041237114,13.448686732632229,False
用户活跃度,user_active_degree,day_new,长播率,199,485,11,11,189,465,27.63819095477387,13.608247422680412,14.029943532093457,False
用户活跃度,user_active_degree,day_new,完整播放率,199,485,11,11,189,465,11.282051282051283,5.330490405117271,5.951560876934012,False
用户活跃度,user_active_degree,day_new,正向互动率,199,485,11,11,189,465,0.5025125628140703,0.8247422680412372,-0.3222297052271669,False
用户活跃度,user_active_degree,day_new,负反馈率,199,485,11,11,189,465,0.0,0.2061855670103093,-0.2061855670103093,False
用户活跃度,user_active_degree,full_active,点击/有效播放率,191405,833260,17177,17959,6389,7560,42.31028447532719,16.918368816455846,25.39191565887134,True
用户活跃度,user_active_degree,full_active,长播率,191405,833260,17177,17959,6389,7560,29.593270813197147,8.132155629695413,21.461115183501732,True
用户活跃度,user_active_degree,full_active,完整播放率,191405,833260,17177,17959,6389,7560,13.220468553409038,3.192970633341675,10.027497920067363,True
用户活跃度,user_active_degree,full_active,正向互动率,191405,833260,17177,17959,6389,7560,1.7429011781301427,0.48772291961692626,1.2551782585132165,True
用户活跃度,user_active_degree,full_active,负反馈率,191405,833260,17177,17959,6389,7560,0.05067788197800475,0.08988791013609197,-0.039210028158087225,True
用户活跃度,user_active_degree,high_active,点击/有效播放率,57585,235289,5681,6158,4889,7511,49.488582096031955,19.023413759249262,30.465168336782693,True
用户活跃度,user_active_degree,high_active,长播率,57585,235289,5681,6158,4889,7511,35.46756967960407,9.352328413142986,26.115241266461084,True
用户活跃度,user_active_degree,high_active,完整播放率,57585,235289,5681,6158,4889,7511,16.322175584635463,3.6593549745384686,12.662820610096995,True
